"time","Time","HSShftTq","GenTq","Wind1VelX","RtVAvgxh","BldPitch1","NacYaw","RefGenSpd","GenSpeed","RotSpeed","LSSGagPxa","Azimuth","GenAccel","YawBrTAxp","YawBrTAyp"
9.9999999999999992E-002,8.9999999999999997E-002,1.5635413201813324E+003,1.0093963125000000E+003,1.1000000000000000E+001,1.0426511475837472E+001,9.2000012093938954E-001,0.0000000000000000E+000,5.0038313060796220E+000,7.7769107769717962E+000,7.9004636792991354E+000,4.1280418756349082E+000,4.1808290218301973E+000,1.7227498810493440E+001,1.1931609680346567E+000,-6.8095827639850962E-002
1.0999999999999999E-001,1.0000000000000001E-001,1.6219477589054923E+003,1.1215515000000000E+003,1.1000000000000000E+001,1.0392797238336536E+001,9.0000004638912279E-001,0.0000000000000000E+000,5.0038313060796220E+000,7.8042702928072876E+000,7.9237457068117090E+000,4.5954923047934768E+000,4.6555753894197354E+000,1.5546478236782177E+001,1.2103632473990964E+000,-7.3258393246955072E-002
1.1999999999999998E-001,1.1000000000000000E-001,1.6695970035896050E+003,1.2337066250000000E+003,1.1000000000000000E+001,1.0363642649922950E+001,8.7999975839544453E-001,0.0000000000000000E+000,5.0038313060796220E+000,7.8285426394114870E+000,7.9429475408313230E+000,5.0644936024228784E+000,5.1315970179866888E+000,1.3530038206596947E+001,1.2289871991485695E+000,-7.8246677447686694E-002
1.2999999999999998E-001,1.2000000000000000E-001,1.7086761593859230E+003,1.3458617500000000E+003,1.1000000000000000E+001,1.0339172406692683E+001,8.6000011073200100E-001,0.0000000000000000E+000,5.0038313060796220E+000,7.8492214946676944E+000,7.9579364614062857E+000,5.5348459215789090E+000,5.6086449325568397E+000,1.1246454038934868E+001,1.2482595997361270E+000,-8.3032043174684864E-002
1.3999999999999999E-001,1.3000000000000000E-001,1.7411632335037293E+003,1.4580168750000000E+003,1.1000000000000000E+001,1.0319451186690674E+001,8.4000003618173424E-001,0.0000000000000000E+000,5.0038313060796220E+000,7.8659153502614938E+000,7.9686308289915360E+000,6.0063210286394595E+000,6.0864636267068368E+000,8.7574092656485156E+000,1.2680820026358457E+000,-8.7609874898638460E-002
1.4999999999999999E-001,1.4000000000000001E-001,1.7688770027274672E+003,1.5701720000000000E+003,1.1000000000000000E+001,1.0304490598933345E+001,8.1999990827061475E-001,0.0000000000000000E+000,5.0038313060796220E+000,7.8783294318551613E+000,7.9749971020589463E+000,6.4786705818971724E+000,6.5647941915634584E+000,6.1196541046664850E+000,1.2881889994940423E+000,-9.1972690053323064E-002
1.6000000000000000E-001,1.4999999999999999E-001,1.7934974877427067E+003,1.6823271250000000E+003,1.1000000000000000E+001,1.0294248458557119E+001,8.0000010052461246E-001,0.0000000000000000E+000,5.0038313060796220E+000,7.8862600749087708E+000,7.9770506911482446E+000,6.9516312573797840E+000,7.0433771560819949E+000,3.3855997977628909E+000,1.3083052695638608E+000,-9.6111820035508722E-002
1.7000000000000001E-001,1.7000000000000001E-001,1.8395990739854155E+003,1.9066375000000000E+003,1.1000000000000000E+001,1.0287479465939683E+001,7.5999995142407861E-001,0.0000000000000000E+000,5.0038313060796220E+000,7.8882716951216842E+000,7.9685238244019674E+000,7.8982892179287516E+000,8.0002772398682858E+000,-2.1798490305273712E+000,1.3474403013882914E+000,-1.0368860560916442E-001
1.8000000000000002E-001,1.7000000000000001E-001,1.8395990739854155E+003,1.9066375000000000E+003,1.1000000000000000E+001,1.0287479465939683E+001,7.5999995142407861E-001,0.0000000000000000E+000,5.0038313060796220E+000,7.8882716951216842E+000,7.9685238244019674E+000,7.8982892179287516E+000,8.0002772398682858E+000,-2.1798490305273712E+000,1.3474403013882914E+000,-1.0368860560916442E-001
1.9000000000000003E-001,1.9000000000000000E-001,1.8907346734845971E+003,2.1309477500000003E+003,1.1000000000000000E+001,1.0297765444562227E+001,7.1999990904525124E-001,0.0000000000000000E+000,5.0038313060796220E+000,7.8719042228296816E+000,7.9441269902600542E+000,8.8440804911263537E+000,8.9551874730804144E+000,-7.5873956822967159E+000,1.3832432619789792E+000,-1.1026683253799502E-001
2.0000000000000004E-001,2.0000000000000001E-001,1.9217596733673088E+003,2.2431030000000001E+003,1.1000000000000000E+001,1.0307824971437531E+001,7.1969361774965845E-001,0.0000000000000000E+000,5.0038313060796220E+000,7.8571291618370012E+000,7.9265810145147428E+000,9.3159724912996520E+000,9.4313255475382860E+000,-1.0120609676309353E+001,1.3987387609362054E+000,-1.1316555248356393E-001
2.1000000000000005E-001,2.0999999999999999E-001,1.9591198339441696E+003,2.3552580000000003E+003,1.1000000000000000E+001,1.0319510761636714E+001,7.6724811615478461E-001,0.0000000000000000E+000,5.0038313060796220E+000,7.8382895508851700E+000,7.9060403476118184E+000,9.7868543298602919E+000,9.9063186993470200E+000,-1.2455978194298181E+001,1.4117536890433118E+000,-1.1578232182585955E-001
2.2000000000000006E-001,2.2000000000000000E-001,2.0028721581596878E+003,2.4674132500000001E+003,1.1000000000000000E+001,1.0335567655458068E+001,7.8656458481866809E-001,0.0000000000000000E+000,5.0038313060796220E+000,7.8157118640283167E+000,7.8827406692250621E+000,1.0256493393769537E+001,1.0379994607213426E+001,-1.4591654367433863E+001,1.4233399202809547E+000,-1.1809146423733519E-001
2.3000000000000007E-001,2.3000000000000001E-001,2.0536081800133943E+003,2.5795682500000003E+003,1.1000000000000000E+001,1.0354728914657336E+001,7.9564713558919886E-001,0.0000000000000000E+000,5.0038313060796220E+000,7.7897619977558330E+000,7.8570266219993812E+000,1.0724673339821173E+001,1.0852198545046237E+001,-1.6509272280349279E+001,1.4307563735132496E+000,-1.2009337810662367E-001
2.4000000000000007E-001,2.3999999999999999E-001,2.1120549317252912E+003,2.6917235000000001E+003,1.1000000000000000E+001,1.0376017131381063E+001,8.1564731686117098E-001,0.0000000000000000E+000,5.0038313060796220E+000,7.7608146261712898E+000,7.8292790004667507E+000,1.1191204621113114E+001,1.1322796949660470E+001,-1.8186044146264166E+001,1.4363594016351549E+000,-1.2178360635741900E-001
